Country,Cluster,PC1_Score,PC2_Score,Age,Gender,Education_Level,Settlement_Type,Marital_Status,Employment_Status
Cntry_21,1,2.2837658271653334,0.1930484200876704,23.0,1.0,3.0,2.0,1.0,6.0
Cntry_21,2,-0.859751724197521,-0.547238227490653,60.0,1.0,4.0,2.0,4.0,3.0
Cntry_21,1,1.002204261218651,0.09611635960557413,50.0,1.0,2.0,2.0,4.0,2.0
Cntry_21,2,1.607660826515951,-1.2348578146833529,54.0,1.0,2.0,1.0,4.0,7.0
Cntry_21,2,0.5201463212398219,-0.18200632845785067,72.0,2.0,1.0,1.0,7.0,4.0
Cntry_21,1,2.1623067870989914,-1.7379049366533807,40.0,1.0,4.0,2.0,1.0,6.0
Cntry_21,2,-1.947444888658915,-1.6355207416899822,45.0,1.0,2.0,2.0,4.0,7.0
Cntry_21,2,-0.977860166125684,-0.4190054632961207,42.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,0,-1.7285709088327403,-0.7062091179699285,36.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,0.7855380633058078,-0.2511622492152462,23.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,0.9302624498572425,-0.21113428002636206,47.0,1.0,4.0,1.0,4.0,7.0
Cntry_21,1,1.3078779751970608,1.8076202350380544,32.0,1.0,4.0,2.0,1.0,6.0
Cntry_21,2,-1.0182065658576152,-1.937185885662547,55.0,2.0,4.0,2.0,4.0,4.0
Cntry_21,2,0.131372152550384,0.2238385948400848,61.0,1.0,4.0,1.0,4.0,3.0
Cntry_21,2,-1.5807628159005953,-0.24523645534604424,46.0,1.0,2.0,1.0,4.0,2.0
Cntry_21,1,0.8336340786051571,0.05935770324373157,69.0,1.0,4.0,1.0,4.0,3.0
Cntry_21,1,2.379404727875265,-1.9779638747767185,56.0,1.0,2.0,1.0,4.0,6.0
Cntry_21,2,0.9546751055766316,-0.9091952927776823,43.0,1.0,4.0,2.0,4.0,2.0
Cntry_21,2,-0.8501944712548903,-0.10790531470958678,63.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,0.6953658804231827,-1.940297630682119,71.0,1.0,1.0,1.0,4.0,3.0
Cntry_21,2,0.8202122448990004,-0.9221071727349426,58.0,1.0,2.0,2.0,4.0,7.0
Cntry_21,2,-0.8455158403334952,-2.0742807668747045,33.0,2.0,1.0,1.0,4.0,4.0
Cntry_21,2,-1.0801029108962885,-0.5564788895209208,49.0,2.0,4.0,1.0,1.0,2.0
Cntry_21,2,1.3428536002957059,-1.5785217984941722,47.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,0.29937245650921346,-1.7600421408467855,60.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,-0.7597954607761426,0.6296988709297663,37.0,1.0,2.0,1.0,4.0,6.0
Cntry_21,1,2.5143839802596486,1.7304876787560848,19.0,1.0,4.0,1.0,1.0,5.0
Cntry_21,1,2.9301993715852626,1.3420797688969395,20.0,1.0,4.0,2.0,1.0,6.0
Cntry_21,1,1.288417056585749,-0.4362614283758906,41.0,1.0,4.0,2.0,1.0,6.0
Cntry_21,0,-2.501163714292555,-0.3335757226267974,58.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,0.03812050165974582,-0.17456776262111395,60.0,2.0,3.0,1.0,4.0,4.0
Cntry_21,2,-0.29767698894303085,-1.5107205585168808,67.0,2.0,1.0,1.0,4.0,4.0
Cntry_21,1,2.247321612232867,0.4548851655565915,18.0,1.0,4.0,1.0,1.0,5.0
Cntry_21,2,-0.07198930273665055,-0.2987398352472963,62.0,1.0,2.0,2.0,7.0,3.0
Cntry_21,1,0.36545905100731957,0.782120488287042,45.0,1.0,7.0,1.0,4.0,6.0
Cntry_21,0,-2.332014546846496,-0.037808488616091075,73.0,1.0,1.0,2.0,4.0,3.0
Cntry_21,2,-0.18010070967934683,-0.9554296503827322,64.0,1.0,4.0,1.0,4.0,2.0
Cntry_21,2,0.3595909664726656,-1.9224109185578757,43.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,1,2.512253457555754,-1.0810075532943202,30.0,2.0,4.0,1.0,1.0,6.0
Cntry_21,2,-0.09481691656227291,-1.7160787392104528,60.0,2.0,1.0,1.0,4.0,4.0
Cntry_21,2,1.1806558803590466,-0.7942152936118924,25.0,1.0,2.0,2.0,1.0,6.0
Cntry_21,2,1.09116587922658,-1.7294100523573386,45.0,1.0,4.0,2.0,4.0,7.0
Cntry_21,0,-1.667823973663784,0.757035091097065,60.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,-0.3518825918786808,-0.5450886162581662,32.0,1.0,2.0,2.0,4.0,7.0
Cntry_21,2,-0.6665277280616837,-0.4645738328932693,66.0,1.0,2.0,1.0,4.0,7.0
Cntry_21,1,2.9590788731089193,-1.294140984312352,29.0,1.0,3.0,1.0,1.0,7.0
Cntry_21,2,1.9039848636153078,-1.3379832434697032,30.0,2.0,2.0,1.0,3.0,4.0
Cntry_21,0,-0.7962273887400246,0.1357460835641229,48.0,1.0,6.0,1.0,4.0,1.0
Cntry_21,2,0.15267204912143192,-1.6972276636795478,36.0,1.0,4.0,1.0,4.0,2.0
Cntry_21,0,-2.731363670281852,-0.4172416982834832,41.0,2.0,6.0,1.0,4.0,4.0
Cntry_21,1,2.0381477129137986,2.841034456021896,29.0,2.0,6.0,1.0,1.0,4.0
Cntry_21,1,3.0327549818188912,-0.6563716347686042,30.0,1.0,2.0,1.0,1.0,6.0
Cntry_21,2,0.269723560810451,-0.03655042453092842,31.0,1.0,3.0,1.0,1.0,6.0
Cntry_21,2,0.022491288443922296,-0.27175391349629335,62.0,2.0,6.0,1.0,4.0,3.0
Cntry_21,0,-0.9677546329911593,-0.04365709725702628,49.0,2.0,4.0,1.0,4.0,2.0
Cntry_21,2,0.01593169298452619,-0.8692690901028829,49.0,1.0,4.0,2.0,4.0,1.0
Cntry_21,1,1.9512769285548681,2.3347414509591067,19.0,2.0,3.0,1.0,1.0,6.0
Cntry_21,2,-1.424039663673965,-1.2873834354641454,32.0,2.0,3.0,1.0,4.0,4.0
Cntry_21,2,0.7910145881244445,-2.4290687585910633,51.0,2.0,2.0,2.0,4.0,6.0
Cntry_21,0,-2.470470860413185,-0.22057752661563104,53.0,2.0,4.0,1.0,5.0,6.0
Cntry_21,0,-1.6410686536939976,1.102872438849446,46.0,1.0,2.0,1.0,4.0,6.0
Cntry_21,1,2.678940016095403,-0.5262349646876185,50.0,1.0,4.0,1.0,4.0,6.0
Cntry_21,1,1.0121172497792665,0.9243665941783064,41.0,1.0,3.0,1.0,4.0,7.0
Cntry_21,1,0.9032884894147687,0.24104234392030022,62.0,1.0,4.0,1.0,7.0,2.0
Cntry_21,2,-0.1810456961739042,-1.8106742226956245,54.0,2.0,1.0,2.0,4.0,4.0
Cntry_21,1,2.7618502296421004,0.1660042947950723,26.0,1.0,6.0,1.0,1.0,6.0
Cntry_21,1,2.8026607020134273,-0.9587437454607832,34.0,2.0,3.0,1.0,4.0,4.0
Cntry_21,1,1.9967117334430837,-0.1999513420401131,22.0,1.0,4.0,1.0,1.0,5.0
Cntry_21,2,0.6596143888307417,0.4080860310387148,54.0,1.0,4.0,1.0,4.0,3.0
Cntry_21,1,2.0068672233036513,-0.40656024360167053,31.0,1.0,6.0,1.0,1.0,1.0
Cntry_21,1,2.6382326992373883,1.9693003793738346,19.0,1.0,4.0,2.0,1.0,7.0
Cntry_21,1,1.3760173573653205,0.17347217060603473,35.0,2.0,4.0,2.0,4.0,2.0
Cntry_21,2,1.680175310038769,-1.300391994154416,29.0,2.0,4.0,1.0,4.0,4.0
Cntry_21,2,0.05884686630774908,-1.2841069312493232,49.0,1.0,4.0,1.0,4.0,6.0
Cntry_21,2,-0.30836130353667,0.9712003036397348,47.0,1.0,4.0,2.0,4.0,7.0
Cntry_21,0,-3.6233651526035193,-0.540368600496365,44.0,2.0,2.0,2.0,1.0,4.0
Cntry_21,2,-0.4012391776911201,-1.9833313430923687,72.0,2.0,1.0,1.0,7.0,4.0
Cntry_21,1,0.35247306318030414,2.5999664641669886,40.0,1.0,3.0,1.0,4.0,7.0
Cntry_21,2,-0.5927403552470475,-1.452064667204945,67.0,1.0,2.0,1.0,4.0,3.0
Cntry_21,2,-0.1736349587264171,-0.8033013914523905,71.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,-0.3954949082678719,-0.15638442209390419,25.0,2.0,6.0,1.0,4.0,5.0
Cntry_21,1,3.387181638200069,-1.1933783394823572,35.0,1.0,7.0,1.0,4.0,1.0
Cntry_21,2,-0.26100743564529544,-2.293011109414192,54.0,2.0,1.0,2.0,4.0,4.0
Cntry_21,2,1.1583930276467032,-1.3324863457670097,52.0,2.0,1.0,2.0,4.0,6.0
Cntry_21,2,-0.17316863464350257,-0.6847180275595863,40.0,1.0,2.0,1.0,4.0,7.0
Cntry_21,1,0.1835653485383075,3.2760099281686963,25.0,1.0,4.0,1.0,1.0,7.0
Cntry_21,2,2.3492035105670954,-1.7051006997366658,39.0,1.0,2.0,2.0,4.0,6.0
Cntry_21,1,0.8057493615932386,0.8677799416268008,42.0,1.0,2.0,2.0,4.0,6.0
Cntry_21,2,-0.09403807059462628,-1.5976017020077853,44.0,2.0,4.0,1.0,4.0,4.0
Cntry_21,2,-0.4154370121956679,1.136848726713356,36.0,1.0,1.0,1.0,4.0,3.0
Cntry_21,2,1.2671475904176897,-0.4594302805780841,60.0,1.0,5.0,2.0,4.0,1.0
Cntry_21,1,1.6147934522710277,1.1122102901153292,44.0,1.0,4.0,1.0,1.0,7.0
Cntry_21,1,0.6176221427480212,1.003216675267438,36.0,1.0,4.0,1.0,4.0,1.0
Cntry_21,1,2.0147624774652377,0.24161031856402343,43.0,2.0,5.0,1.0,1.0,6.0
Cntry_21,2,-1.4133151211715098,-1.9346134982421306,27.0,2.0,4.0,1.0,1.0,4.0
Cntry_21,2,-0.5924861523761032,-0.058563967332688906,48.0,2.0,2.0,2.0,4.0,4.0
Cntry_21,1,0.845988799598943,1.6812189532144604,40.0,1.0,4.0,1.0,1.0,6.0
Cntry_21,1,1.8770722688750752,-0.42465795426373587,58.0,1.0,2.0,2.0,4.0,6.0
Cntry_21,1,1.4141578906949177,-0.41523290287790465,18.0,1.0,4.0,1.0,1.0,7.0
Cntry_21,2,-0.8708353875782521,-1.2812298493366026,36.0,1.0,4.0,1.0,7.0,7.0
Cntry_21,2,0.6374936926457261,0.29427670883271534,60.0,2.0,4.0,1.0,4.0,3.0
Cntry_21,2,1.1140868336829681,-2.3089748990366368,65.0,1.0,2.0,1.0,4.0,6.0
Cntry_21,2,0.5197962170864886,-0.5158140300188296,32.0,2.0,3.0,1.0,4.0,7.0
Cntry_21,2,-0.20077759250593105,-1.7400951912384062,55.0,2.0,1.0,1.0,5.0,4.0
Cntry_21,2,-0.9155168896175392,-0.7225822144224777,52.0,1.0,2.0,1.0,4.0,3.0
Cntry_21,2,-0.6612082338254455,-1.617068809259218,32.0,2.0,5.0,1.0,4.0,4.0
Cntry_21,0,-0.7132861111382413,1.2355492692549899,32.0,2.0,2.0,1.0,1.0,4.0
Cntry_21,1,2.198904798759116,0.5789590786250061,19.0,2.0,6.0,1.0,1.0,5.0
Cntry_21,1,1.166851874867502,0.5020552514356751,43.0,2.0,4.0,1.0,4.0,1.0
Cntry_21,2,1.477580310919933,-1.5780404018634495,55.0,2.0,3.0,2.0,1.0,6.0
Cntry_21,1,1.6345647930907679,-0.7140222924683683,18.0,2.0,4.0,2.0,1.0,7.0
Cntry_21,2,0.4060621024619848,-0.2696908001795743,28.0,1.0,4.0,2.0,1.0,6.0
Cntry_21,1,2.1250259301616943,1.1282155655415025,27.0,2.0,4.0,2.0,1.0,1.0
Cntry_21,2,0.9772430532474154,-1.4217103006403529,51.0,1.0,4.0,1.0,4.0,3.0
Cntry_21,2,0.8206875697787174,-0.4207928515849911,65.0,1.0,2.0,1.0,4.0,2.0
Cntry_21,2,0.571392278861487,1.3261513235263456,66.0,1.0,1.0,1.0,4.0,3.0
Cntry_21,2,-0.9060344292460462,0.7429174645539336,36.0,2.0,2.0,2.0,1.0,4.0
Cntry_21,2,-1.9687573914369698,-0.6215009827716167,37.0,1.0,2.0,1.0,4.0,6.0
Cntry_21,2,0.3982298934840956,-1.9766997714503516,66.0,1.0,4.0,1.0,4.0,3.0
Cntry_21,0,-0.26921467603602656,1.4104993171597133,19.0,1.0,3.0,1.0,1.0,5.0
Cntry_21,2,1.744356829103828,-1.7155141683378021,54.0,2.0,2.0,1.0,5.0,4.0
Cntry_21,2,-0.39600558624544213,0.5277071531725044,60.0,1.0,2.0,2.0,4.0,7.0
Cntry_21,2,-0.3821205798221289,-0.231970434254004,33.0,1.0,3.0,1.0,1.0,6.0
Cntry_21,1,2.511715437135681,-0.9545856492501821,47.0,1.0,2.0,1.0,5.0,3.0
Cntry_21,2,-0.19685425455205746,0.11659757594865364,54.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,1,1.4939619587982942,-1.0572179553567254,44.0,2.0,4.0,1.0,4.0,4.0
Cntry_21,2,-0.7962569447547188,-0.9961124558858745,58.0,2.0,1.0,1.0,7.0,4.0
Cntry_21,1,2.9233730077988715,2.7754314968348366,37.0,1.0,6.0,1.0,1.0,2.0
Cntry_21,1,1.5373937137242766,1.2578323996746235,26.0,2.0,7.0,1.0,4.0,5.0
Cntry_21,1,1.5035702725044129,0.8273674690281299,32.0,2.0,5.0,1.0,4.0,4.0
Cntry_21,0,-1.9799766374148544,2.202885227156623,55.0,1.0,2.0,1.0,4.0,6.0
Cntry_21,1,1.098673651202046,-2.044183350946895,41.0,2.0,4.0,2.0,4.0,4.0
Cntry_21,1,1.0088469218865521,0.43042356815534555,27.0,1.0,5.0,1.0,1.0,6.0
Cntry_21,2,1.0871528109192787,-0.44043315453431076,47.0,1.0,2.0,1.0,4.0,6.0
Cntry_21,2,-1.3350721207569387,-2.3849135844129172,54.0,1.0,2.0,2.0,4.0,6.0
Cntry_21,2,0.6943638516791139,0.3066865380738254,65.0,2.0,2.0,1.0,7.0,4.0
Cntry_21,1,0.7433764958091196,-0.7623668159580262,20.0,1.0,4.0,1.0,1.0,5.0
Cntry_21,2,-0.2686129756437534,0.7394721227482894,51.0,1.0,2.0,2.0,4.0,1.0
Cntry_21,2,-0.500662183681305,-1.6431262560040576,52.0,2.0,1.0,1.0,4.0,4.0
Cntry_21,2,-1.187226061198553,0.02514608085677761,33.0,1.0,3.0,1.0,1.0,7.0
Cntry_21,2,-0.16842571659264383,-1.022533838980298,36.0,1.0,2.0,1.0,7.0,3.0
Cntry_21,2,-0.05982764486826005,0.25666559722676857,19.0,2.0,4.0,1.0,1.0,5.0
Cntry_21,1,0.08902657921225969,0.22181489940672672,29.0,1.0,4.0,2.0,1.0,7.0
Cntry_21,2,0.9647172678129046,-0.7843365305503113,37.0,2.0,6.0,1.0,4.0,4.0
Cntry_21,2,-0.19839103079994874,-1.103418471991174,75.0,1.0,1.0,1.0,4.0,3.0
Cntry_21,1,1.8465329944803466,-0.03754960831220617,25.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,0.8685117060179144,-2.629135546203895,32.0,2.0,4.0,1.0,4.0,4.0
Cntry_21,2,-0.2081811179543094,-0.8752326004841442,36.0,1.0,4.0,1.0,4.0,3.0
Cntry_21,2,-0.8901490897757826,-1.0191151179583375,54.0,2.0,6.0,1.0,4.0,1.0
Cntry_21,2,-1.428353162090631,-2.094709320765661,58.0,1.0,2.0,1.0,4.0,3.0
Cntry_21,2,-1.2809240452270592,-1.8659501768160145,62.0,1.0,2.0,2.0,4.0,2.0
Cntry_21,1,2.820720864046942,1.0544098723459532,18.0,2.0,4.0,1.0,1.0,5.0
Cntry_21,2,1.0939189947779329,-2.123212134508818,54.0,2.0,2.0,1.0,7.0,4.0
Cntry_21,2,0.4855065911134475,-1.0076296646717748,31.0,2.0,7.0,1.0,4.0,4.0
Cntry_21,2,-1.5614122310597323,-0.32637138022061474,25.0,2.0,4.0,2.0,4.0,4.0
Cntry_21,2,-0.18217202700159896,-1.2846530804453464,39.0,1.0,2.0,1.0,4.0,2.0
Cntry_21,2,0.11073006616080533,-0.18506200265200476,50.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,-1.0937472599279696,0.051567203268604964,19.0,2.0,3.0,1.0,3.0,4.0
Cntry_21,2,1.8260758704360491,-0.874899280211325,31.0,2.0,3.0,1.0,1.0,4.0
Cntry_21,2,-0.919332931848611,-0.9413719973003005,36.0,1.0,2.0,1.0,4.0,3.0
Cntry_21,0,-1.6061020688388155,1.1627117052872797,47.0,1.0,2.0,1.0,4.0,6.0
Cntry_21,2,-0.21978653288806727,-1.7619980269025346,52.0,2.0,1.0,2.0,4.0,1.0
Cntry_21,1,0.8170811411719505,2.702375494319264,40.0,1.0,3.0,1.0,1.0,7.0
Cntry_21,1,2.460165323395534,0.8941012140836674,49.0,1.0,4.0,1.0,4.0,2.0
Cntry_21,2,-0.6486410284571654,-1.3499766762882848,70.0,2.0,1.0,2.0,7.0,4.0
Cntry_21,1,0.6138944409684869,0.7697493460049581,18.0,2.0,3.0,1.0,4.0,6.0
Cntry_21,0,-2.334416372358849,0.4496459850732913,66.0,2.0,2.0,1.0,4.0,1.0
Cntry_21,0,-0.5895503775505175,0.913707274051428,51.0,1.0,4.0,2.0,4.0,1.0
Cntry_21,2,-0.2338090576151619,-0.9400640136502195,27.0,2.0,4.0,2.0,4.0,4.0
Cntry_21,1,1.2491462603827574,1.1083271857804005,27.0,1.0,3.0,1.0,1.0,6.0
Cntry_21,2,-0.5328300233335248,-0.44982054854233333,30.0,2.0,3.0,2.0,4.0,4.0
Cntry_21,2,-0.3381768600493664,-0.232842272362052,48.0,2.0,3.0,1.0,4.0,1.0
Cntry_21,2,1.0810464557185073,-2.707281187362846,65.0,2.0,1.0,1.0,4.0,4.0
Cntry_21,2,-1.0295307112979726,-1.7671103741090441,65.0,2.0,4.0,1.0,4.0,4.0
Cntry_21,2,0.8694685162231268,-0.8059824378796772,42.0,2.0,2.0,1.0,4.0,6.0
Cntry_21,1,2.7960238834129485,1.2460533437512697,32.0,2.0,6.0,1.0,1.0,4.0
Cntry_21,1,2.4977950237973485,0.21420614583529451,43.0,1.0,6.0,2.0,4.0,1.0
Cntry_21,2,-0.5735662841565212,-1.9097499074554092,70.0,1.0,2.0,2.0,4.0,3.0
Cntry_21,2,0.7698594993797636,-0.4323402002184037,53.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,0,-0.006526826710851994,2.402890085183358,45.0,1.0,6.0,1.0,1.0,7.0
Cntry_21,1,1.3221464256048168,0.8491514333886262,26.0,1.0,4.0,2.0,1.0,6.0
Cntry_21,1,0.5272231213608769,1.6506086118954229,60.0,1.0,4.0,2.0,4.0,3.0
Cntry_21,1,0.8089591356168224,-0.28804987883607364,20.0,2.0,4.0,1.0,1.0,5.0
Cntry_21,2,1.4952532566779648,-1.8482074984340866,30.0,2.0,4.0,2.0,1.0,4.0
Cntry_21,2,1.2063030581227872,-1.481031649407759,45.0,1.0,2.0,1.0,4.0,2.0
Cntry_21,2,1.0687209518786533,-0.9037606638554732,35.0,1.0,2.0,1.0,1.0,7.0
Cntry_21,2,-0.4920868536846296,0.33671717118218886,20.0,2.0,5.0,2.0,3.0,2.0
Cntry_21,1,2.819129450191685,-0.4352526479270531,23.0,1.0,6.0,1.0,1.0,6.0
Cntry_21,2,-1.0029282593723952,-1.0968916188531204,46.0,2.0,3.0,1.0,4.0,6.0
Cntry_21,2,-2.4097637758709753,-1.4501266651764697,60.0,2.0,1.0,1.0,4.0,4.0
Cntry_21,2,-0.3514136882618972,0.746459174807451,40.0,1.0,2.0,2.0,4.0,6.0
Cntry_21,1,1.3365753586267761,1.1082638645249345,28.0,2.0,4.0,1.0,1.0,1.0
Cntry_21,1,0.3691257332691184,0.5407124284825096,25.0,1.0,5.0,2.0,1.0,5.0
Cntry_21,1,2.303320695857395,0.895665917244522,26.0,2.0,3.0,1.0,1.0,6.0
Cntry_21,1,1.837795940339213,0.9044088786638339,72.0,1.0,7.0,1.0,4.0,3.0
Cntry_21,1,1.854880515117827,-1.3857032385198826,50.0,2.0,4.0,1.0,4.0,4.0
Cntry_21,2,1.0004822186127982,-1.128333991322811,67.0,1.0,2.0,1.0,4.0,3.0
Cntry_21,2,2.0273062920889178,-1.2649604660252536,45.0,1.0,2.0,1.0,4.0,6.0
Cntry_21,1,1.8097309962916004,2.123470087520016,61.0,1.0,2.0,2.0,4.0,6.0
Cntry_21,2,-0.7640996020361644,-1.4293328310102786,32.0,2.0,3.0,2.0,4.0,4.0
Cntry_21,2,-0.744660231030095,-0.9847779091576156,56.0,2.0,4.0,1.0,4.0,4.0
Cntry_21,2,-0.05453889371873715,-0.9150356770516622,34.0,2.0,4.0,2.0,4.0,1.0
Cntry_21,2,-0.9628308177992029,-1.6354798465537277,66.0,1.0,2.0,2.0,4.0,3.0
Cntry_21,1,1.9014810614303268,2.1942893433452877,22.0,1.0,4.0,1.0,1.0,2.0
Cntry_21,2,0.830881595734618,-1.5789436879675758,45.0,2.0,1.0,1.0,1.0,6.0
Cntry_21,1,1.8507960499222975,0.6894416256152194,35.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,0.5385158284577767,-2.535685925911614,61.0,1.0,2.0,1.0,4.0,6.0
Cntry_21,1,2.797736208123533,0.9391667252995388,18.0,2.0,4.0,1.0,1.0,5.0
Cntry_21,1,1.18727005773407,0.24502784040176098,36.0,2.0,7.0,1.0,4.0,1.0
Cntry_21,1,1.7077430750972333,0.21956809653036707,28.0,2.0,3.0,1.0,3.0,2.0
Cntry_21,2,-0.15125378786375115,0.5000344589742778,67.0,1.0,3.0,1.0,4.0,3.0
Cntry_21,1,2.080893839520306,1.276096698936886,20.0,1.0,5.0,1.0,1.0,5.0
Cntry_21,2,-2.3964653394159017,-0.6639532059870032,48.0,2.0,1.0,2.0,1.0,7.0
Cntry_21,2,0.9458128326542228,-1.6116805119917377,54.0,1.0,2.0,1.0,4.0,2.0
Cntry_21,1,1.979381187967191,2.8943982216804685,26.0,2.0,7.0,2.0,1.0,6.0
Cntry_21,2,-1.192249672331886,-0.34444533127992777,54.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,0.054572927890430147,0.016607874998432113,63.0,2.0,3.0,1.0,4.0,4.0
Cntry_21,2,-1.3998354913491426,-1.331951728417418,51.0,1.0,2.0,2.0,4.0,6.0
Cntry_21,2,0.3190126890527375,-0.9647847263571778,39.0,2.0,3.0,2.0,1.0,6.0
Cntry_21,2,0.6247685068153683,-0.27247797283721154,46.0,2.0,1.0,1.0,3.0,6.0
Cntry_21,2,1.8243185685752195,-1.2331772816192346,47.0,1.0,2.0,2.0,4.0,2.0
Cntry_21,1,1.0250013340274462,0.7894986791922725,49.0,1.0,1.0,2.0,4.0,6.0
Cntry_21,2,-0.2587611558772957,-2.588647959871903,27.0,2.0,2.0,2.0,4.0,4.0
Cntry_21,0,-1.1140183965846042,1.5474609571819924,71.0,1.0,2.0,1.0,4.0,3.0
Cntry_21,2,-2.2356317367391307,-0.6808268555848522,43.0,1.0,2.0,1.0,4.0,7.0
Cntry_21,1,1.2637965593313332,1.374743243047557,19.0,1.0,4.0,1.0,1.0,5.0
Cntry_21,0,-1.2534643151426978,-0.028592378510791012,45.0,2.0,5.0,2.0,4.0,2.0
Cntry_21,2,0.05093649988742167,-1.1007850342852479,53.0,1.0,7.0,1.0,4.0,1.0
Cntry_21,1,3.646689770494525,1.599211530353633,28.0,1.0,7.0,1.0,1.0,1.0
Cntry_21,2,0.911470982564017,-3.0921112632036967,65.0,2.0,1.0,2.0,4.0,7.0
Cntry_21,1,2.037309432738884,-0.9640865841876598,35.0,2.0,6.0,1.0,4.0,4.0
Cntry_21,2,0.6588345487025123,-1.157609498499957,36.0,1.0,4.0,1.0,4.0,3.0
Cntry_21,2,0.020119032639245013,0.16252744373610684,60.0,1.0,4.0,2.0,4.0,2.0
Cntry_21,1,1.2487697956421728,2.129467411479232,18.0,1.0,3.0,1.0,1.0,7.0
Cntry_21,1,1.1377650023712054,1.9054241442268987,33.0,2.0,4.0,1.0,5.0,4.0
Cntry_21,2,0.7813377235952418,-0.3454482619336218,69.0,2.0,6.0,1.0,4.0,3.0
Cntry_21,1,1.7591652631884316,0.21583658123371355,42.0,1.0,4.0,1.0,4.0,1.0
Cntry_21,2,-0.5856310728381777,-2.026225968572106,52.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,0.03996477782909844,-1.4918089548562088,48.0,1.0,2.0,1.0,4.0,6.0
Cntry_21,2,0.6494899414928157,-0.42682307441038136,42.0,1.0,2.0,2.0,4.0,2.0
Cntry_21,1,1.0155138426629482,1.4812973380870724,39.0,1.0,4.0,2.0,4.0,7.0
Cntry_21,2,0.4848391081763378,-1.0398663740852927,33.0,2.0,5.0,1.0,4.0,4.0
Cntry_21,2,-1.4755079491853171,-1.075587802205244,62.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,2,0.2269285976380406,-0.7156739101172088,25.0,1.0,6.0,2.0,1.0,6.0
Cntry_21,2,-1.8854131759637884,-0.5415627014598324,36.0,1.0,2.0,1.0,5.0,3.0
Cntry_21,2,-2.465194295322771,-0.95031492804277,64.0,2.0,2.0,1.0,4.0,4.0
Cntry_21,1,1.4246964815076486,1.0470842267103422,21.0,1.0,4.0,2.0,1.0,1.0
Cntry_21,1,1.0782926508026163,-0.751931274911274,45.0,2.0,4.0,2.0,4.0,6.0
Cntry_21,1,1.41726040305992,-0.16841698947537673,55.0,1.0,2.0,1.0,1.0,7.0
Cntry_21,2,0.24597722973963834,0.6159594658186338,39.0,1.0,2.0,2.0,4.0,6.0
Cntry_21,1,0.7433941534051903,0.8343890267149398,47.0,1.0,3.0,1.0,4.0,2.0
Cntry_21,2,1.0159559171206127,-2.2557699041917396,57.0,1.0,2.0,2.0,4.0,7.0
Cntry_21,1,2.404857780163959,1.9957856704746009,24.0,1.0,5.0,2.0,1.0,6.0
Cntry_21,0,-3.063851644000317,1.574068959020663,52.0,1.0,2.0,1.0,1.0,6.0
Cntry_21,2,-0.2893178541777336,-1.2193532499969204,58.0,2.0,4.0,1.0,5.0,4.0
Cntry_21,2,0.8841277926497595,0.09884878383079135,31.0,2.0,3.0,1.0,4.0,4.0
Cntry_21,2,1.4011965043496746,-0.6084687636127678,50.0,1.0,2.0,2.0,4.0,6.0
Cntry_21,2,0.4752154310153406,0.1059801333143208,75.0,1.0,4.0,1.0,4.0,3.0
Cntry_21,1,1.9680550029349366,0.7396549249328945,32.0,1.0,6.0,1.0,1.0,1.0
Cntry_21,2,-1.023058716735813,0.20323697290751533,57.0,2.0,2.0,1.0,4.0,6.0
